Date,OT_Chapter,NT_Chapter,Questions
2025-11-10,எசேக் 4-6,எபி 3,1️⃣ இன்று நாம் படிக்கும் எசேக் 4-6 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 3 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-12,எசேக் 7-8,எபி 4,1️⃣ இன்று நாம் படிக்கும் எசேக் 7-8 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 4 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-13,எசேக் 9-11,எபி 5,1️⃣ இன்று நாம் படிக்கும் எசேக் 9-11 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 5 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-14,எசேக் 12-13,எபி 6,1️⃣ இன்று நாம் படிக்கும் எசேக் 12-13 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 6 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-15,எசேக் 14-15,எபி 7,1️⃣ இன்று நாம் படிக்கும் எசேக் 14-15 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 7 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-16,எசேக் 16-17,எபி 8,1️⃣ இன்று நாம் படிக்கும் எசேக் 16-17 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 8 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-17,எசேக் 18-19,எபி 9,1️⃣ இன்று நாம் படிக்கும் எசேக் 18-19 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 9 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-18,எசேக் 20,எபி 10,1️⃣ இன்று நாம் படிக்கும் எசேக் 20 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 10 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-19,எசேக் 21-22,,1️⃣ இன்று நாம் படிக்கும் எசேக் 21-22 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எசேக் 21-22 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-20,எசேக் 23-24,எபி 11,1️⃣ இன்று நாம் படிக்கும் எசேக் 23-24 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 11 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-21,எசேக் 25-26,,1️⃣ இன்று நாம் படிக்கும் எசேக் 25-26 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எசேக் 25-26 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-22,எசேக் 27-28,எபி 12,1️⃣ இன்று நாம் படிக்கும் எசேக் 27-28 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 12 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-23,எசேக் 29-30,எபி 13,1️⃣ இன்று நாம் படிக்கும் எசேக் 29-30 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எபி 13 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-24,எசேக் 31-32,2 தீமோ 1,1️⃣ இன்று நாம் படிக்கும் எசேக் 31-32 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ 2 தீமோ 1 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-25,எசேக் 33-34,2 தீமோ 2,1️⃣ இன்று நாம் படிக்கும் எசேக் 33-34 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ 2 தீமோ 2 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-26,எசேக் 35-36,2 தீமோ 3,1️⃣ இன்று நாம் படிக்கும் எசேக் 35-36 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ 2 தீமோ 3 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-27,எசேக் 37-38,2 தீமோ 4; 2 பேது 1,1️⃣ இன்று நாம் படிக்கும் எசேக் 37-38 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ 2 தீமோ 4; 2 பேது 1 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-28,எசேக் 39,,1️⃣ இன்று நாம் படிக்கும் எசேக் 39 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ எசேக் 39 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-29,எசேக் 40-41,2 பேது 2,1️⃣ இன்று நாம் படிக்கும் எசேக் 40-41 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ 2 பேது 2 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-11-30,எசேக் 42-43,2 பேது 3,1️⃣ இன்று நாம் படிக்கும் எசேக் 42-43 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ 2 பேது 3 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-01,எசேக் 44-45,யூதா,1️⃣ இன்று நாம் படிக்கும் எசேக் 44-45 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ யூதா வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-02,எசேக் 46,1 யோவா 1,1️⃣ இன்று நாம் படிக்கும் எசேக் 46 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ 1 யோவா 1 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-03,எசேக் 47-48,1 யோவா 2,1️⃣ இன்று நாம் படிக்கும் எசேக் 47-48 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ 1 யோவா 2 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-04,யோவேல் 1-3,1 யோவா 3,1️⃣ இன்று நாம் படிக்கும் யோவேல் 1-3 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ 1 யோவா 3 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-05,தானி 1-2,1 யோவா 4,1️⃣ இன்று நாம் படிக்கும் தானி 1-2 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ 1 யோவா 4 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-06,தானி 3,1 யோவா 5,1️⃣ இன்று நாம் படிக்கும் தானி 3 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ 1 யோவா 5 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-07,தானி 4,2 யோவா; 3 யோவா,1️⃣ இன்று நாம் படிக்கும் தானி 4 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ 2 யோவா; 3 யோவா வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-08,தானி 5-6,வெளி 1,1️⃣ இன்று நாம் படிக்கும் தானி 5-6 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 1 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-09,தானி 7-8,,1️⃣ இன்று நாம் படிக்கும் தானி 7-8 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ தானி 7-8 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-10,தானி 9-10,வெளி 2,1️⃣ இன்று நாம் படிக்கும் தானி 9-10 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 2 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-11,தானி 11,வெளி 3,1️⃣ இன்று நாம் படிக்கும் தானி 11 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 3 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-12,தானி 12; எஸ்றா 1-2,வெளி 4,1️⃣ இன்று நாம் படிக்கும் தானி 12; எஸ்றா 1-2 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 4 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-13,எஸ்றா 3-5,வெளி 5,1️⃣ இன்று நாம் படிக்கும் எஸ்றா 3-5 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 5 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-14,எஸ்றா 6; சங் 137; ஆகாய் 1,வெளி 6,1️⃣ இன்று நாம் படிக்கும் எஸ்றா 6; சங் 137; ஆகாய் 1 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 6 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-15,ஆகாய் 2; சகா 1-3,வெளி 7,1️⃣ இன்று நாம் படிக்கும் ஆகாய் 2; சகா 1-3 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 7 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-16,சகரியா 4-7,வெளி 8,1️⃣ இன்று நாம் படிக்கும் சகரியா 4-7 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 8 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-17,சகரியா 8-10,வெளி 9,1️⃣ இன்று நாம் படிக்கும் சகரியா 8-10 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 9 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-18,சகரியா 11-14,வெளி 10,1️⃣ இன்று நாம் படிக்கும் சகரியா 11-14 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 10 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-19,எஸ்தர் 1-2,வெளி 11,1️⃣ இன்று நாம் படிக்கும் எஸ்தர் 1-2 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 11 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-20,எஸ்தர் 3-5,வெளி 12,1️⃣ இன்று நாம் படிக்கும் எஸ்தர் 3-5 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 12 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-21,எஸ்தர் 6-8,வெளி 13,1️⃣ இன்று நாம் படிக்கும் எஸ்தர் 6-8 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 13 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-22,எஸ்தர் 9-10; எஸ்றா 7,வெளி 14,1️⃣ இன்று நாம் படிக்கும் எஸ்தர் 9-10; எஸ்றா 7 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 14 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-23,எஸ்றா 8-9,வெளி 15,1️⃣ இன்று நாம் படிக்கும் எஸ்றா 8-9 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 15 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-24,எஸ்றா 10; நெகே 1,வெளி 16,1️⃣ இன்று நாம் படிக்கும் எஸ்றா 10; நெகே 1 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 16 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-25,நெகே 2-4,வெளி 17,1️⃣ இன்று நாம் படிக்கும் நெகே 2-4 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 17 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-26,நெகே 5-6,வெளி 18,1️⃣ இன்று நாம் படிக்கும் நெகே 5-6 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 18 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-27,நெகே 7-8,வெளி 19,1️⃣ இன்று நாம் படிக்கும் நெகே 7-8 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 19 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-28,நெகே 9,வெளி 20,1️⃣ இன்று நாம் படிக்கும் நெகே 9 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 20 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-29,நெகே 10-11,,1️⃣ இன்று நாம் படிக்கும் நெகே 10-11 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ நெகே 10-11 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-30,நெகே 12-13; சங் 126,வெளி 21,1️⃣ இன்று நாம் படிக்கும் நெகே 12-13; சங் 126 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 21 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?
2025-12-31,மல்கி 1-4,வெளி 22,1️⃣ இன்று நாம் படிக்கும் மல்கி 1-4 அத்தியாயத்தில் குறிப்பிடப்பட்ட முக்கிய நிகழ்வு என்ன?; 2️⃣ வெளி 22 வாசிப்பில் இருந்து நாம் எப்படிப் பாடம் கற்கலாம்?

